State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange? (Yes_or_No),Plan_ID,URL_Claims_Payment_Policies,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Incl_Behavioral_Health,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Enrollment_Data,Disenrollment_Data
AK,Moda Assurance Company,77963,Yes,77963AK0010004,https://www.modahealth.com/members/transparency.shtml  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,N/A,N/A
AK,Moda Assurance Company,77963,Yes,77963AK0010003,https://www.modahealth.com/members/transparency.shtml  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,N/A,N/A
AK,Moda Assurance Company,77963,Yes,77963AK0010002,https://www.modahealth.com/members/transparency.shtml  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,N/A,N/A
AK,Moda Assurance Company,77963,Yes,77963AK0010001,https://www.modahealth.com/members/transparency.shtml  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47098&:refresh,N/A,N/A
AK,Oregon Dental Service,21989,No,21989AK0030001,https://www.modahealth.com/members/transparency.shtml,8987,2013,**,**,**,**,**,**,4249,1022,**,*,273,**,N/A,749,https://ratereview.healthcare.gov/,Missing URL,850,411
AK,Oregon Dental Service,21989,No,21989AK0050001,https://www.modahealth.com/members/transparency.shtml,8987,2013,**,**,**,**,**,**,2992,677,**,*,167,**,N/A,510,https://ratereview.healthcare.gov/,Missing URL,851,405
AK,Oregon Dental Service,21989,No,21989AK0050002,https://www.modahealth.com/members/transparency.shtml,8987,2013,**,**,**,**,**,**,1701,312,**,*,91,**,N/A,221,https://ratereview.healthcare.gov/,Missing URL,245,95
AK,Premera Blue Cross Blue Shield of Alaska,38344,No,38344AK1060001,https://www.premera.com/ak/visitor/transparency-in-coverage/,504380,70912,178,76,42.7%,11,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,N/A,N/A
AK,Premera Blue Cross Blue Shield of Alaska,38344,No,38344AK1060002,https://www.premera.com/ak/visitor/transparency-in-coverage/,504380,70912,178,76,42.7%,11,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,N/A,N/A
AK,Premera Blue Cross Blue Shield of Alaska,38344,No,38344AK1060004,https://www.premera.com/ak/visitor/transparency-in-coverage/,504380,70912,178,76,42.7%,11,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,N/A,N/A
AK,Premera Blue Cross Blue Shield of Alaska,38344,No,38344AK1070002,https://www.premera.com/ak/visitor/transparency-in-coverage/,504380,70912,178,76,42.7%,11,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,N/A,N/A
AK,Premera Blue Cross Blue Shield of Alaska,38344,No,38344AK1070001,https://www.premera.com/ak/visitor/transparency-in-coverage/,504380,70912,178,76,42.7%,11,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=47570&:refresh,N/A,N/A
