PlanId,PlanType,MetalLevel,PlanVariantMarketingName,Asthma Management Program,Depression Management Program,Diabetes Management Program,Heart Disease Management Program,High Blood Pressure & High Cholesterol Management Program,Low Back Pain Management Program,Pain Management Program,Pregnancy Management Program,Weight Loss Management Program
12379FL0010006-00,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010006-01,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010022-03,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010022-04,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010022-05,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010022-06,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010001-01,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010001-02,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010001-03,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010002-00,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010002-01,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010002-02,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010002-03,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010002-04,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010002-05,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010002-06,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010003-00,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010003-01,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010003-02,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010003-03,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010003-04,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010003-05,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010003-06,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010004-00,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010004-01,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010004-02,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010004-03,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010004-04,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010004-05,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
