,PlanId,StandardComponentId,BenefitName,Exclusions
109068,36194FL0120001-00,36194FL0120001,Mental/Behavioral Health Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109069,36194FL0120001-00,36194FL0120001,Mental/Behavioral Health Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109070,36194FL0120001-00,36194FL0120001,Substance Abuse Disorder Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109071,36194FL0120001-00,36194FL0120001,Substance Abuse Disorder Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109079,36194FL0120001-00,36194FL0120001,Durable Medical Equipment,"Items that are primarily for convenience or comfort and items available over-the-counter are excluded. The replacement of equipment is also excluded, unless it is non-functional and not practically repairable."
109134,36194FL0120001-01,36194FL0120001,Mental/Behavioral Health Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109135,36194FL0120001-01,36194FL0120001,Mental/Behavioral Health Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109136,36194FL0120001-01,36194FL0120001,Substance Abuse Disorder Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109137,36194FL0120001-01,36194FL0120001,Substance Abuse Disorder Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109145,36194FL0120001-01,36194FL0120001,Durable Medical Equipment,"Items that are primarily for convenience or comfort and items available over-the-counter are excluded. The replacement of equipment is also excluded, unless it is non-functional and not practically repairable."
109215,36194FL0120001-02,36194FL0120001,Mental/Behavioral Health Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109216,36194FL0120001-02,36194FL0120001,Mental/Behavioral Health Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109217,36194FL0120001-02,36194FL0120001,Substance Abuse Disorder Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109218,36194FL0120001-02,36194FL0120001,Substance Abuse Disorder Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109226,36194FL0120001-02,36194FL0120001,Durable Medical Equipment,"Items that are primarily for convenience or comfort and items available over-the-counter are excluded. The replacement of equipment is also excluded, unless it is non-functional and not practically repairable."
109296,36194FL0120001-03,36194FL0120001,Mental/Behavioral Health Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109297,36194FL0120001-03,36194FL0120001,Mental/Behavioral Health Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109298,36194FL0120001-03,36194FL0120001,Substance Abuse Disorder Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109299,36194FL0120001-03,36194FL0120001,Substance Abuse Disorder Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109307,36194FL0120001-03,36194FL0120001,Durable Medical Equipment,"Items that are primarily for convenience or comfort and items available over-the-counter are excluded. The replacement of equipment is also excluded, unless it is non-functional and not practically repairable."
109320,36194FL0120002-01,36194FL0120002,Mental/Behavioral Health Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
109321,36194FL0120002-01,36194FL0120002,Mental/Behavioral Health Inpatient Services,Any inpatient Services provided in a residential treatment Facility are excluded from Coverage.
109322,36194FL0120002-01,36194FL0120002,Substance Abuse Disorder Outpatient Services,Any outpatient Services provided in a residential treatment Facility are excluded from Coverage.
