,zipcode,County,County_Name
0,32609,12001,Alachua
1,32622,12001,Alachua
2,32633,12001,Alachua
3,32044,12001,Alachua
4,32612,12001,Alachua
5,32601,12001,Alachua
6,32658,12001,Alachua
7,32654,12001,Alachua
8,32662,12001,Alachua
9,32608,12001,Alachua
10,32618,12001,Alachua
11,32627,12001,Alachua
12,32635,12001,Alachua
13,32631,12001,Alachua
14,32605,12001,Alachua
15,32694,12001,Alachua
16,32614,12001,Alachua
17,32611,12001,Alachua
18,32643,12001,Alachua
19,32606,12001,Alachua
20,32640,12001,Alachua
21,32667,12001,Alachua
22,32669,12001,Alachua
23,32603,12001,Alachua
24,32641,12001,Alachua
25,32653,12001,Alachua
26,32604,12001,Alachua
27,32607,12001,Alachua
28,32615,12001,Alachua
29,32666,12001,Alachua
30,32610,12001,Alachua
31,32087,12003,Baker
32,32040,12003,Baker
33,32234,12003,Baker
34,32063,12003,Baker
35,32456,12005,Bay
36,32402,12005,Bay
37,32407,12005,Bay
38,32408,12005,Bay
39,32466,12005,Bay
40,32417,12005,Bay
41,32413,12005,Bay
42,32405,12005,Bay
43,32403,12005,Bay
44,32438,12005,Bay
45,32411,12005,Bay
46,32410,12005,Bay
47,32404,12005,Bay
48,32406,12005,Bay
49,32461,12005,Bay
50,32462,12005,Bay
51,32437,12005,Bay
52,32409,12005,Bay
53,32444,12005,Bay
54,32401,12005,Bay
55,32026,12007,Bradford
56,32622,12007,Bradford
57,32042,12007,Bradford
58,32091,12007,Bradford
59,32666,12007,Bradford
60,32058,12007,Bradford
61,32656,12007,Bradford
62,32083,12007,Bradford
63,32054,12007,Bradford
64,32044,12007,Bradford
65,32694,12007,Bradford
66,32949,12009,Brevard
67,32904,12009,Brevard
68,32907,12009,Brevard
69,32956,12009,Brevard
70,32911,12009,Brevard
71,32925,12009,Brevard
72,32923,12009,Brevard
73,32775,12009,Brevard
74,32927,12009,Brevard
75,32934,12009,Brevard
76,32783,12009,Brevard
77,32899,12009,Brevard
78,32908,12009,Brevard
79,32941,12009,Brevard
80,32926,12009,Brevard
81,32937,12009,Brevard
82,32950,12009,Brevard
83,32951,12009,Brevard
84,32780,12009,Brevard
85,32922,12009,Brevard
86,32912,12009,Brevard
87,32906,12009,Brevard
88,32936,12009,Brevard
89,32952,12009,Brevard
90,32954,12009,Brevard
91,32796,12009,Brevard
92,32754,12009,Brevard
93,32905,12009,Brevard
94,32901,12009,Brevard
95,32932,12009,Brevard
96,32959,12009,Brevard
97,32935,12009,Brevard
98,32940,12009,Brevard
99,32902,12009,Brevard
100,32781,12009,Brevard
101,32815,12009,Brevard
102,32903,12009,Brevard
103,32920,12009,Brevard
104,32910,12009,Brevard
105,32924,12009,Brevard
106,32953,12009,Brevard
107,32955,12009,Brevard
108,32931,12009,Brevard
109,32976,12009,Brevard
110,32909,12009,Brevard
111,33351,12011,Broward
112,33065,12011,Broward
113,33067,12011,Broward
114,33069,12011,Broward
115,33071,12011,Broward
116,33021,12011,Broward
117,33024,12011,Broward
118,33027,12011,Broward
119,33028,12011,Broward
120,33443,12011,Broward
121,33308,12011,Broward
122,33394,12011,Broward
123,33064,12011,Broward
124,33066,12011,Broward
125,33026,12011,Broward
126,33313,12011,Broward
127,33334,12011,Broward
128,33328,12011,Broward
129,33061,12011,Broward
130,33068,12011,Broward
131,33063,12011,Broward
132,33083,12011,Broward
133,33029,12011,Broward
134,33441,12011,Broward
135,33315,12011,Broward
136,33325,12011,Broward
137,33309,12011,Broward
138,33345,12011,Broward
139,33327,12011,Broward
140,33312,12011,Broward
141,33314,12011,Broward
142,33306,12011,Broward
143,33331,12011,Broward
144,33335,12011,Broward
145,33388,12011,Broward
146,33022,12011,Broward
147,33307,12011,Broward
148,33359,12011,Broward
149,33097,12011,Broward
150,33020,12011,Broward
151,33321,12011,Broward
152,33322,12011,Broward
153,33323,12011,Broward
154,33305,12011,Broward
155,33338,12011,Broward
156,33179,12011,Broward
157,33018,12011,Broward
158,33076,12011,Broward
159,33009,12011,Broward
160,33304,12011,Broward
161,33316,12011,Broward
162,33326,12011,Broward
163,33060,12011,Broward
164,33023,12011,Broward
165,33004,12011,Broward
166,33008,12011,Broward
167,33324,12011,Broward
168,33311,12011,Broward
169,33317,12011,Broward
170,33093,12011,Broward
171,33346,12011,Broward
172,33081,12011,Broward
173,33075,12011,Broward
174,33073,12011,Broward
175,33074,12011,Broward
176,33019,12011,Broward
177,33442,12011,Broward
178,33319,12011,Broward
179,33330,12011,Broward
180,33302,12011,Broward
181,33318,12011,Broward
182,33329,12011,Broward
183,33339,12011,Broward
184,33082,12011,Broward
185,33062,12011,Broward
186,33025,12011,Broward
187,33301,12011,Broward
188,33332,12011,Broward
189,33320,12011,Broward
190,33310,12011,Broward
191,33355,12011,Broward
192,33077,12011,Broward
193,33084,12011,Broward
194,33348,12011,Broward
195,33056,12011,Broward
196,32448,12013,Calhoun
197,32421,12013,Calhoun
198,32442,12013,Calhoun
199,32424,12013,Calhoun
