,zipcode,County,County_Name
7096,32609,12001,Alachua
7097,32622,12001,Alachua
7098,32633,12001,Alachua
7099,32044,12001,Alachua
7100,32612,12001,Alachua
7101,32601,12001,Alachua
7102,32658,12001,Alachua
7103,32654,12001,Alachua
7104,32662,12001,Alachua
7105,32608,12001,Alachua
7106,32618,12001,Alachua
7107,32627,12001,Alachua
7108,32635,12001,Alachua
7109,32631,12001,Alachua
7110,32605,12001,Alachua
7111,32694,12001,Alachua
7112,32614,12001,Alachua
7113,32611,12001,Alachua
7114,32643,12001,Alachua
7115,32606,12001,Alachua
7116,32640,12001,Alachua
7117,32667,12001,Alachua
7118,32669,12001,Alachua
7119,32603,12001,Alachua
7120,32641,12001,Alachua
7121,32653,12001,Alachua
7122,32604,12001,Alachua
7123,32607,12001,Alachua
7124,32615,12001,Alachua
7125,32666,12001,Alachua
7126,32610,12001,Alachua
7127,32087,12003,Baker
7128,32040,12003,Baker
7129,32234,12003,Baker
7130,32063,12003,Baker
7131,32456,12005,Bay
7132,32402,12005,Bay
7133,32407,12005,Bay
7134,32408,12005,Bay
7135,32466,12005,Bay
7136,32417,12005,Bay
7137,32413,12005,Bay
7138,32405,12005,Bay
7139,32403,12005,Bay
7140,32438,12005,Bay
7141,32411,12005,Bay
7142,32410,12005,Bay
7143,32404,12005,Bay
7144,32406,12005,Bay
7145,32461,12005,Bay
7146,32462,12005,Bay
7147,32437,12005,Bay
7148,32409,12005,Bay
7149,32444,12005,Bay
7150,32401,12005,Bay
7151,32026,12007,Bradford
7152,32622,12007,Bradford
7153,32042,12007,Bradford
7154,32091,12007,Bradford
7155,32666,12007,Bradford
7156,32058,12007,Bradford
7157,32656,12007,Bradford
7158,32083,12007,Bradford
7159,32054,12007,Bradford
7160,32044,12007,Bradford
7161,32694,12007,Bradford
7162,32949,12009,Brevard
7163,32904,12009,Brevard
7164,32907,12009,Brevard
7165,32956,12009,Brevard
7166,32911,12009,Brevard
7167,32925,12009,Brevard
7168,32923,12009,Brevard
7169,32775,12009,Brevard
7170,32927,12009,Brevard
7171,32934,12009,Brevard
7172,32783,12009,Brevard
7173,32899,12009,Brevard
7174,32908,12009,Brevard
7175,32941,12009,Brevard
7176,32926,12009,Brevard
7177,32937,12009,Brevard
7178,32950,12009,Brevard
7179,32951,12009,Brevard
7180,32780,12009,Brevard
7181,32922,12009,Brevard
7182,32912,12009,Brevard
7183,32906,12009,Brevard
7184,32936,12009,Brevard
7185,32952,12009,Brevard
7186,32954,12009,Brevard
7187,32796,12009,Brevard
7188,32754,12009,Brevard
7189,32905,12009,Brevard
7190,32901,12009,Brevard
