,IssuerId,ServiceAreaId,County,County_Name
0,12379,FLS001,12095,Orange
1,12379,FLS001,12117,Seminole
2,12379,FLS001,12097,Osceola
3,12379,FLS001,12069,Lake
4,12379,FLS001,12127,Volusia
5,12379,FLS003,12101,Pasco
6,12379,FLS003,12057,Hillsborough
7,12379,FLS003,12103,Pinellas
8,12379,FLS002,12031,Duval
9,12379,FLS002,12019,Clay
10,12379,FLS002,12033,Escambia
11,12379,FLS002,12113,Santa Rosa
12,12379,FLS004,12099,Palm Beach
13,16842,FLS002,12003,Baker
14,16842,FLS002,12005,Bay
15,16842,FLS002,12009,Brevard
16,16842,FLS002,12011,Broward
17,16842,FLS002,12015,Charlotte
18,16842,FLS002,12017,Citrus
19,16842,FLS002,12019,Clay
20,16842,FLS002,12031,Duval
21,16842,FLS002,12033,Escambia
22,16842,FLS002,12045,Gulf
23,16842,FLS002,12053,Hernando
24,16842,FLS002,12055,Highlands
25,16842,FLS002,12057,Hillsborough
26,16842,FLS002,12061,Indian River
27,16842,FLS002,12069,Lake
28,16842,FLS002,12083,Marion
29,16842,FLS002,12085,Martin
30,16842,FLS002,12086,Miami-Dade
31,16842,FLS002,12091,Okaloosa
32,16842,FLS002,12095,Orange
33,16842,FLS002,12097,Osceola
34,16842,FLS002,12099,Palm Beach
35,16842,FLS002,12101,Pasco
36,16842,FLS002,12103,Pinellas
37,16842,FLS002,12105,Polk
38,16842,FLS002,12109,St. Johns
39,16842,FLS002,12113,Santa Rosa
40,16842,FLS002,12115,Sarasota
41,16842,FLS002,12117,Seminole
42,16842,FLS002,12119,Sumter
43,16842,FLS002,12131,Walton
44,21663,FLS001,12001,Alachua
45,21663,FLS001,12009,Brevard
46,21663,FLS001,12011,Broward
47,21663,FLS001,12015,Charlotte
48,21663,FLS001,12017,Citrus
49,21663,FLS001,12019,Clay
50,21663,FLS001,12031,Duval
51,21663,FLS001,12033,Escambia
52,21663,FLS001,12035,Flagler
53,21663,FLS001,12053,Hernando
54,21663,FLS001,12055,Highlands
55,21663,FLS001,12057,Hillsborough
56,21663,FLS001,12069,Lake
57,21663,FLS001,12081,Manatee
58,21663,FLS001,12083,Marion
59,21663,FLS002,12086,Miami-Dade
60,21663,FLS001,12091,Okaloosa
61,21663,FLS001,12093,Okeechobee
62,21663,FLS001,12095,Orange
63,21663,FLS001,12097,Osceola
64,21663,FLS003,12099,Palm Beach
65,21663,FLS001,12101,Pasco
66,21663,FLS001,12103,Pinellas
67,21663,FLS001,12105,Polk
68,21663,FLS001,12107,Putnam
69,21663,FLS001,12111,St. Lucie
70,21663,FLS001,12115,Sarasota
71,21663,FLS001,12117,Seminole
72,21663,FLS001,12127,Volusia
73,21663,FLS001,12131,Walton
74,30252,FLS001,12001,Alachua
75,30252,FLS001,12003,Baker
76,30252,FLS001,12005,Bay
77,30252,FLS001,12007,Bradford
78,30252,FLS001,12009,Brevard
79,30252,FLS001,12015,Charlotte
80,30252,FLS001,12017,Citrus
81,30252,FLS001,12019,Clay
82,30252,FLS001,12021,Collier
83,30252,FLS001,12023,Columbia
84,30252,FLS001,12027,DeSoto
85,30252,FLS001,12029,Dixie
86,30252,FLS001,12033,Escambia
87,30252,FLS001,12035,Flagler
88,30252,FLS001,12041,Gilchrist
89,30252,FLS001,12051,Hendry
90,30252,FLS001,12053,Hernando
91,30252,FLS001,12069,Lake
92,30252,FLS001,12071,Lee
93,30252,FLS001,12075,Levy
94,30252,FLS001,12081,Manatee
95,30252,FLS001,12083,Marion
96,30252,FLS001,12085,Martin
97,30252,FLS001,12089,Nassau
98,30252,FLS001,12091,Okaloosa
99,30252,FLS001,12093,Okeechobee
100,30252,FLS001,12109,St. Johns
101,30252,FLS001,12111,St. Lucie
102,30252,FLS001,12113,Santa Rosa
103,30252,FLS001,12115,Sarasota
104,30252,FLS001,12119,Sumter
105,30252,FLS001,12121,Suwannee
106,30252,FLS001,12127,Volusia
107,30252,FLS001,12131,Walton
108,30252,FLS002,12001,Alachua
109,30252,FLS002,12011,Broward
110,30252,FLS002,12015,Charlotte
111,30252,FLS002,12017,Citrus
112,30252,FLS002,12031,Duval
113,30252,FLS002,12057,Hillsborough
114,30252,FLS002,12081,Manatee
115,30252,FLS002,12085,Martin
116,30252,FLS002,12086,Miami-Dade
117,30252,FLS002,12095,Orange
118,30252,FLS002,12097,Osceola
119,30252,FLS002,12099,Palm Beach
120,30252,FLS002,12101,Pasco
121,30252,FLS002,12103,Pinellas
122,30252,FLS002,12105,Polk
123,30252,FLS002,12107,Putnam
124,30252,FLS002,12111,St. Lucie
125,30252,FLS002,12117,Seminole
126,30252,FLS003,12089,Nassau
127,36194,FLS001,12009,Brevard
128,36194,FLS002,12035,Flagler
129,36194,FLS002,12127,Volusia
130,36194,FLS002,12117,Seminole
131,40572,FLS001,12035,Flagler
132,40572,FLS001,12127,Volusia
133,40572,FLS001,12011,Broward
134,40572,FLS001,12086,Miami-Dade
135,40572,FLS001,12099,Palm Beach
136,40572,FLS001,12083,Marion
137,40572,FLS001,12053,Hernando
138,40572,FLS001,12057,Hillsborough
139,40572,FLS001,12101,Pasco
140,40572,FLS001,12103,Pinellas
141,40572,FLS001,12069,Lake
142,40572,FLS001,12095,Orange
143,40572,FLS001,12097,Osceola
144,40572,FLS001,12117,Seminole
145,48121,FLS001,12021,Collier
146,48121,FLS002,12099,Palm Beach
147,54172,FLS001,12011,Broward
148,54172,FLS001,12031,Duval
149,54172,FLS001,12057,Hillsborough
150,54172,FLS001,12086,Miami-Dade
151,54172,FLS001,12097,Osceola
152,54172,FLS001,12099,Palm Beach
153,54172,FLS001,12103,Pinellas
154,54172,FLS001,12105,Polk
155,54172,FLS001,12019,Clay
156,54172,FLS001,12101,Pasco
157,54172,FLS001,12095,Orange
158,54172,FLS001,12117,Seminole
159,56503,FLS001,12009,Brevard
160,56503,FLS001,12035,Flagler
161,56503,FLS001,12109,St. Johns
162,56503,FLS001,12117,Seminole
163,56503,FLS001,12127,Volusia
164,16842,FLS001,12095,Orange
165,16842,FLS001,12117,Seminole
166,16842,FLS001,12097,Osceola
167,16842,FLS001,12069,Lake
168,16842,FLS001,12127,Volusia
169,16842,FLS001,12101,Pasco
170,16842,FLS001,12057,Hillsborough
171,16842,FLS001,12103,Pinellas
172,16842,FLS001,12031,Duval
173,16842,FLS001,12019,Clay
174,16842,FLS001,12033,Escambia
175,16842,FLS001,12113,Santa Rosa
176,16842,FLS001,12099,Palm Beach
177,16842,FLS001,12003,Baker
178,16842,FLS001,12005,Bay
179,16842,FLS001,12009,Brevard
180,16842,FLS001,12011,Broward
181,16842,FLS001,12015,Charlotte
182,16842,FLS001,12017,Citrus
183,16842,FLS001,12045,Gulf
184,16842,FLS001,12053,Hernando
185,16842,FLS001,12055,Highlands
186,16842,FLS001,12061,Indian River
187,16842,FLS001,12083,Marion
188,16842,FLS001,12085,Martin
189,16842,FLS001,12086,Miami-Dade
190,16842,FLS001,12091,Okaloosa
191,16842,FLS001,12105,Polk
192,16842,FLS001,12109,St. Johns
193,16842,FLS001,12115,Sarasota
194,16842,FLS001,12119,Sumter
195,16842,FLS001,12131,Walton
196,16842,FLS001,12001,Alachua
197,16842,FLS001,12035,Flagler
198,16842,FLS001,12081,Manatee
199,16842,FLS001,12093,Okeechobee
200,16842,FLS001,12107,Putnam
201,16842,FLS001,12111,St. Lucie
202,16842,FLS001,12007,Bradford
203,16842,FLS001,12021,Collier
204,16842,FLS001,12023,Columbia
205,16842,FLS001,12027,DeSoto
206,16842,FLS001,12029,Dixie
207,16842,FLS001,12041,Gilchrist
208,16842,FLS001,12051,Hendry
209,16842,FLS001,12071,Lee
210,16842,FLS001,12075,Levy
211,16842,FLS001,12089,Nassau
212,16842,FLS001,12121,Suwannee
