,StandardComponentId,PlanId,IssuerId,NetworkId,ServiceAreaId,PlanType,MetalLevel,PlanVariantMarketingName,Asthma Management Program,Depression Management Program,Diabetes Management Program,Heart Disease Management Program,High Blood Pressure & High Cholesterol Management Program,Low Back Pain Management Program,No Management Program,Pain Management Program,Pregnancy Management Program,Weight Loss Management Program,Issuer_Name,Issuer_ID,Issuer_Denial_rate,Plan_denial_rate,Disenrollment_Rate
0,12379FL0010001,12379FL0010001-01,12379,FLN001,FLS001,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
1,12379FL0010001,12379FL0010001-02,12379,FLN001,FLS001,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
2,12379FL0010001,12379FL0010001-03,12379,FLN001,FLS001,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
3,12379FL0010002,12379FL0010002-00,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
4,12379FL0010002,12379FL0010002-01,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
5,12379FL0010002,12379FL0010002-02,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
6,12379FL0010002,12379FL0010002-03,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
7,12379FL0010002,12379FL0010002-04,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
8,12379FL0010002,12379FL0010002-05,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
9,12379FL0010002,12379FL0010002-06,12379,FLN001,FLS001,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
10,12379FL0010003,12379FL0010003-00,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
11,12379FL0010003,12379FL0010003-01,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
12,12379FL0010003,12379FL0010003-02,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
13,12379FL0010003,12379FL0010003-03,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
14,12379FL0010003,12379FL0010003-04,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
15,12379FL0010003,12379FL0010003-05,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
16,12379FL0010003,12379FL0010003-06,12379,FLN001,FLS001,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
17,12379FL0010004,12379FL0010004-00,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
18,12379FL0010004,12379FL0010004-01,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
19,12379FL0010004,12379FL0010004-02,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
20,12379FL0010004,12379FL0010004-03,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
21,12379FL0010004,12379FL0010004-04,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
22,12379FL0010004,12379FL0010004-05,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
23,12379FL0010004,12379FL0010004-06,12379,FLN001,FLS001,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
24,12379FL0010006,12379FL0010006-00,12379,FLN001,FLS001,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
25,12379FL0010006,12379FL0010006-01,12379,FLN001,FLS001,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
26,12379FL0010006,12379FL0010006-02,12379,FLN001,FLS001,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
27,12379FL0010006,12379FL0010006-03,12379,FLN001,FLS001,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
28,12379FL0010007,12379FL0010007-00,12379,FLN001,FLS001,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
29,12379FL0010007,12379FL0010007-01,12379,FLN001,FLS001,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
30,12379FL0010007,12379FL0010007-02,12379,FLN001,FLS001,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
31,12379FL0010007,12379FL0010007-03,12379,FLN001,FLS001,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
32,12379FL0010008,12379FL0010008-00,12379,FLN001,FLS001,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
33,12379FL0010008,12379FL0010008-01,12379,FLN001,FLS001,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0,0,Bright Health Insurance Company of Florida,12379.0,Denials not Provided,Denials not Provided,Disenrollment not Provided
